[2026-04-16T04:28:41.519Z] GET http://localhost:3005/ → 404 (5ms, 139B)
[2026-04-16T04:28:46.874Z] GET http://localhost:5173/ → 200 (4ms, 798B)
[2026-04-16T04:28:46.885Z] GET http://localhost:5173/@vite/client → 200 (24ms, 137703B)
[2026-04-16T04:28:46.885Z] GET http://localhost:5173/fonts/material-symbols-outlined.woff2 → pending (?ms, ?B)
[2026-04-16T04:28:46.885Z] GET http://localhost:5173/src/main.tsx → 200 (21ms, 2156B)
[2026-04-16T04:28:46.886Z] GET http://localhost:5173/@react-refresh → 200 (66ms, 117548B)
[2026-04-16T04:28:46.924Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1b9989ba → 200 (23ms, 37035B)
[2026-04-16T04:28:46.925Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=1b9989ba → 200 (18ms, 219B)
[2026-04-16T04:28:46.925Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1b9989ba → 200 (21ms, 1118B)
[2026-04-16T04:28:46.925Z] GET http://localhost:5173/src/App.tsx → 200 (28ms, 149860B)
[2026-04-16T04:28:46.925Z] GET http://localhost:5173/src/index.css → 200 (24ms, 59826B)
[2026-04-16T04:28:46.926Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (26ms, 4021B)
[2026-04-16T04:28:46.945Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-DRWLMN53.js?v=1b9989ba → 200 (8ms, 77818B)
[2026-04-16T04:28:46.945Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=1b9989ba → 200 (7ms, 1540B)
[2026-04-16T04:28:46.947Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PJEEZAML.js?v=1b9989ba → pending (?ms, ?B)
[2026-04-16T04:28:47.008Z] GET http://localhost:5173/src/components/Login.tsx → 200 (20ms, ?B)
[2026-04-16T04:28:47.008Z] GET http://localhost:5173/src/components/TopNavbar.tsx → 200 (56ms, ?B)
[2026-04-16T04:28:47.008Z] GET http://localhost:5173/src/components/EventsPage.tsx → 200 (132ms, ?B)
[2026-04-16T04:28:47.010Z] GET http://localhost:5173/src/components/EventmanagePage.tsx → 200 (130ms, ?B)
[2026-04-16T04:28:47.010Z] GET http://localhost:5173/src/components/EventChainPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.010Z] GET http://localhost:5173/src/components/TaskDetailPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.010Z] GET http://localhost:5173/src/components/TaskExecutionPage.tsx → 200 (134ms, ?B)
[2026-04-16T04:28:47.010Z] GET http://localhost:5173/src/components/TaskReviewPage.tsx → 200 (135ms, ?B)
[2026-04-16T04:28:47.011Z] GET http://localhost:5173/src/components/TaskListPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.011Z] GET http://localhost:5173/src/components/DataListPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.014Z] GET http://localhost:5173/src/components/DataPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.014Z] GET http://localhost:5173/src/components/DataChainPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.014Z] GET http://localhost:5173/src/components/DataChainDetailPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.014Z] GET http://localhost:5173/src/components/DataReviewPage.tsx → pending (?ms, ?B)
[2026-04-16T04:28:47.014Z] GET http://localhost:5173/src/components/EventDataDetailPage.tsx → pending (?ms, ?B)
